序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
1,66000,大新餐盒食品工廠,99633047,臺中市大甲區義和里中山路１段４５８號,08食品製造業,089其他食品
2,66000,巧口樂實業股份有限公司,99633103,臺中市烏日區前竹里中山路一段二六五巷一號,08食品製造業,089其他食品
3,66000,永信藥品工業股份有限公司台中幼獅廠,99633162,臺中市大甲區日南里工九路27號、工七路9號,"20藥品及醫用化學製品製造業,08食品製造業,33其他製造業","089其他食品,200藥品及醫用化學製品,332醫療器材及用品"
4,66000,潭陽產業股份有限公司,99633182,臺中市潭子區潭陽里潭子街一段31巷86號,08食品製造業,086碾榖、磨粉及澱粉製品
5,66000,台中縣外埔鄉農會碾米工廠土城分廠,99633204,臺中市外埔區土城里土城路二一三號,08食品製造業,086碾榖、磨粉及澱粉製品
6,66000,台中縣外埔鄉農會碾米工廠中山分廠,99633205,臺中市外埔區中山里大馬路１９８號,08食品製造業,086碾榖、磨粉及澱粉製品
7,66000,隨興製冰冷凍股份有限公司,99633214,臺中市梧棲區草湳里自強路三三０號,08食品製造業,"082水產處理及其製品,089其他食品"
8,66000,井田生化科技股份有限公司,99633254,臺中市大甲區日南里工九路9號,"08食品製造業,20藥品及醫用化學製品製造業","200藥品及醫用化學製品,089其他食品"
9,66000,裕珍馨食品股份有限公司幼獅廠,99633256,臺中市大甲區日南里工十路六號,08食品製造業,089其他食品
10,66000,聯引餐盒廠,99633272,臺中市大安區中庄里興安路三五六號,08食品製造業,089其他食品
11,66000,狀元醬油股份有限公司,99633299,臺中市大肚區福山里沙田路一段388巷35之9號,08食品製造業,089其他食品
12,66000,優仕咖啡股份有限公司台中廠,99633317,臺中市霧峰區萬豐里中正路二六六之一號,08食品製造業,089其他食品
13,66000,丸文調理食品有限公司,99633367,臺中市大里區仁化里工業十一路一五六號,08食品製造業,089其他食品
14,66000,沙鹿製冰股份有限公司,99633379,臺中市沙鹿區洛泉里和平街一六號,08食品製造業,089其他食品
15,66000,家園食品股份有限公司,99633464,臺中市大里區仁化里仁美路９８號,08食品製造業,089其他食品
16,66000,佳祥餐盒食品廠,99633480,臺中市清水區南社里忠孝西路一０三號,08食品製造業,089其他食品
17,66000,飪珍記食品股份有限公司,99633537,臺中市太平區中興里永平路二段476巷16、26號,08食品製造業,089其他食品
18,66000,麒洲食品有限公司,99633585,臺中市大雅區上楓里前村路一０一號,08食品製造業,"089其他食品,081肉類處理及其製品"
19,66000,顏新發福珍企業股份有限公司大里廠,99633644,臺中市大里區瑞城里中興路一段二六巷二七號,08食品製造業,089其他食品
20,66000,佳信食品工業股份有限公司,99633680,臺中市梧棲區草湳里自立三街69號,08食品製造業,089其他食品
21,66000,昆林食品有限公司,99633694,臺中市太平區平安里鵬儀路211巷10號,08食品製造業,089其他食品
22,66000,松林食品工廠,99633724,臺中市龍井區忠和里中央路三段一九二號,08食品製造業,089其他食品
23,66000,日光食品工廠股份有限公司,99633759,臺中市大甲區岷山里中山路一段九一二、九一二之一號,08食品製造業,085乳品
24,66000,裕興發企業股份有限公司第二廠,99633762,臺中市清水區國姓里三美路七三之一號,08食品製造業,087動物飼料
25,66000,裕興發企業股份有限公司,99633765,臺中市清水區國姓里三美路六十二號,08食品製造業,"084食用油脂,089其他食品"
26,66000,中港興食品股份有限公司,99633796,臺中市太平區德隆里工業十七路9號,08食品製造業,089其他食品
27,66000,源永豐食品股份有限公司,99633798,臺中市大甲區日南里幼獅路七號,08食品製造業,086碾榖、磨粉及澱粉製品
28,66000,上弘便當工廠,99633823,臺中市大里區樹王里東興路三二０巷二號,08食品製造業,089其他食品
29,66000,華元食品股份有限公司,99633832,臺中市梧棲區草湳里自立二街392號,08食品製造業,089其他食品
30,66000,華元食品股份有限公司第二廠,99633833,臺中市梧棲區草湳里自立二街128號,08食品製造業,089其他食品
31,66000,台灣高蜜食品實業有限公司,99633858,臺中市神岡區岸裡里大富路６１巷２８號,08食品製造業,089其他食品
32,66000,台灣卜蜂企業股份有限公司台中廠,99633883,臺中市梧棲區草湳里自強路99號,08食品製造業,087動物飼料
33,66000,泰谷食品工廠,99633923,臺中市大里區內新里中興路二段三六四號,08食品製造業,089其他食品
34,66000,台甲東糧食加工廠有限公司,99633967,臺中市外埔區大東里大馬路298號,08食品製造業,086碾榖、磨粉及澱粉製品
35,66000,進方企業股份有限公司,99633980,臺中市梧棲區草湳里港埠路一段529號,08食品製造業,086碾榖、磨粉及澱粉製品
36,66000,德成製油加工廠,99633983,臺中市豐原區南嵩里水源路坪頂巷二四號,08食品製造業,084食用油脂
37,66000,正意食品股份有限公司,99634012,臺中市梧棲區永安里向上路九段322巷28號,08食品製造業,089其他食品
38,66000,味全食品工業股份有限公司台中總廠,99634038,臺中市霧峰區萬豐里中正路266號,"08食品製造業,09飲料製造業","085乳品,089其他食品,092非酒精飲料"
39,66000,三福碾米工廠,99634060,臺中市大安區永安里東西三路二六六號,08食品製造業,086碾榖、磨粉及澱粉製品
40,66000,大友食品實業有限公司,99634074,臺中市太平區中興里永平路二段四七六巷六六弄一九號,08食品製造業,089其他食品
41,66000,台灣味群工業股份有限公司,99634080,臺中市大甲區日南里工七路六號,08食品製造業,086碾榖、磨粉及澱粉製品
42,66000,德昌食品股份有限公司,99634121,臺中市大里區仁化里仁化路756號,"08食品製造業,09飲料製造業","081肉類處理及其製品,083蔬果處理及其製品,089其他食品,092非酒精飲料"
43,66000,東和食品廠,99634126,臺中市太平區宜欣里富宜路８３號,08食品製造業,089其他食品
44,66000,昌暉食品有限公司大雅廠,99634134,臺中市大雅區上楓里民生路三段136巷12號,08食品製造業,081肉類處理及其製品
45,66000,中美嘉吉股份有限公司台中飼料廠,99634163,臺中市大肚區頂街里沙田路三段245巷60號,08食品製造業,087動物飼料
46,66000,豐榮食品工廠有限公司,99634234,臺中市豐原區北湳里大順街八巷一五三號,08食品製造業,089其他食品
47,66000,助元健康食品工業有限公司,99634337,臺中市霧峰區本鄉里草湖路１３５巷１弄４６號,08食品製造業,089其他食品
48,66000,鑫永食品工業股份有限公司,99634398,臺中市太平區太平里永平路３段１３２巷８７號,08食品製造業,081肉類處理及其製品
49,66000,台灣信誼化學食品股份有限公司,99634455,臺中市神岡區豐洲里大明路二巷七號,"08食品製造業,09飲料製造業","089其他食品,092非酒精飲料"
50,66000,得力興生技藥業股份有限公司,99634462,臺中市豐原區三村里三和路４０２號,"08食品製造業,18化學材料製造業,19化學製品製造業,20藥品及醫用化學製品製造業","089其他食品,183肥料,191農藥及環境用藥,193清潔用品,194化粧品,199其他化學製品,200藥品及醫用化學製品"
51,66000,成偉食品股份有限公司二廠,99634485,臺中市梧棲區草湳里自強一街146號,08食品製造業,089其他食品
52,66000,成偉食品股份有限公司,99634486,臺中市梧棲區草湳里自立一街178號,08食品製造業,089其他食品
53,66000,成偉食品股份有限公司三廠,99634489,臺中市沙鹿區興安里興安路５１號,"08食品製造業,09飲料製造業","081肉類處理及其製品,082水產處理及其製品,083蔬果處理及其製品,089其他食品"
54,66000,東陽穀物股份有限公司,99634603,臺中市烏日區榮泉里中山路三段720號,08食品製造業,086碾榖、磨粉及澱粉製品
55,66000,金星餐盒食品有限公司,99634606,臺中市豐原區東陽里東陽路８３號,08食品製造業,089其他食品
56,66000,建利食品股份有限公司,99634725,臺中市烏日區溪埧里溪南路１段１９７巷９６號,08食品製造業,089其他食品
57,66000,味榮食品工業股份有限公司,99634791,臺中市豐原區三村里西勢路七○一號,08食品製造業,089其他食品
58,66000,龍甲寶股份有限公司,99634979,臺中市烏日區學田里學田路論子巷十四號,08食品製造業,089其他食品
59,66000,穗德碾米工廠,99635079,臺中市外埔區土城里土城中路3號,08食品製造業,086碾榖、磨粉及澱粉製品
60,66000,國苗香食品有限公司,99635102,臺中市豐原區社皮里三角路一八七號,08食品製造業,089其他食品
61,66000,鮮味食品廠,99635120,臺中市霧峰區南柳里新厝路二六一巷一０弄八之一號,08食品製造業,089其他食品
62,66000,宏廣製麵廠有限公司,99635121,臺中市霧峰區南柳里新厝路261巷10弄8號,08食品製造業,089其他食品
63,66000,帝元食品有限公司,99635130,臺中市神岡區庄後里中車路13之2號,08食品製造業,"083蔬果處理及其製品,089其他食品"
64,66000,壯源生技食品股份有限公司,99635132,臺中市霧峰區北勢里丁臺路五七二號,08食品製造業,089其他食品
65,66000,樂可多有限公司,99635169,臺中市豐原區東陽里東陽路福德巷二六弄二三號,08食品製造業,087動物飼料
66,66000,正峰冷凍製冰有限公司,99635191,臺中市豐原區南村里圓環東路八一０巷三號,08食品製造業,089其他食品
67,66000,醇芳實業有限公司,99635198,臺中市梧棲區草湳里自立路48號,08食品製造業,084食用油脂
68,66000,台灣優杏生物科技股份有限公司,99635334,臺中市太平區建國里鵬儀路三二０巷三弄一號,08食品製造業,089其他食品
69,66000,通順產業股份有限公司,99635340,臺中市梧樓鎮草湳里自立路１０６號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品"
70,66000,源豐碾米工廠大安分工廠,99635341,臺中市大安區松雅里大安港路５２６號,08食品製造業,086碾榖、磨粉及澱粉製品
71,66000,巧合企業股份有限公司,99635342,臺中市龍井區忠和里工業路一九０號,08食品製造業,086碾榖、磨粉及澱粉製品
72,66000,光陽興業股份有限公司,99635359,臺中市潭子區大豐里潭富路二段189號,08食品製造業,087動物飼料
73,66000,源豐碾米工廠,99635405,臺中市龍井區三德里中央路二段二三三號,08食品製造業,089其他食品
74,66000,源味香食品廠有限公司,99635406,臺中市豐原區南村里向陽路一一九號三樓,08食品製造業,089其他食品
75,66000,合慶農產加工廠,99635421,臺中市沙鹿區洛泉里鎮政路四八號,08食品製造業,086碾榖、磨粉及澱粉製品
76,66000,東正生物科技股份有限公司,99635479,臺中市太平區建國里鵬儀路４６１巷２８號,08食品製造業,089其他食品
77,66000,吉農企業有限公司,99635554,臺中市神岡區新庄里溪頭路一六二號,08食品製造業,"083蔬果處理及其製品,089其他食品"
78,66000,王記食品廠,99635670,臺中市神岡區三角里大富路九八巷一九號,08食品製造業,"089其他食品,081肉類處理及其製品"
79,66000,金佳鋒生物科技股份有限公司,99635738,臺中市霧峰區南柳里新厝路２６１巷１０弄２２號,08食品製造業,089其他食品
80,66000,惠德台塑食品有限公司,99635778,臺中市太平區新光里新光路六八之八號,08食品製造業,089其他食品
81,66000,恒昌珍企業有限公司,99635783,臺中市沙鹿區斗抵里斗潭路三四號,08食品製造業,089其他食品
82,66000,信裕碾米廠,99635848,臺中市梧棲區永寧里永興路一段五四六巷二七之一號,08食品製造業,086碾榖、磨粉及澱粉製品
83,66000,椰旺實業股份有限公司清水廠,99635973,臺中市清水區下湳里中山路４００之８號,08食品製造業,083蔬果處理及其製品
84,66000,洪元記食品廠股份有限公司,99635986,臺中市梧棲區中和里民權街關前巷一五號,08食品製造業,089其他食品
85,66000,福懋油脂股份有限公司麥片廠,99636022,臺中市大肚區福山里沙田路一段393號,08食品製造業,086碾榖、磨粉及澱粉製品
86,66000,福懋油脂股份有限公司麵粉廠,99636023,臺中市大肚區福山里沙田路一段405號,08食品製造業,086碾榖、磨粉及澱粉製品
87,66000,福懋油脂股份有限公司油脂廠,99636024,臺中市大肚區福山里沙田路一段453之1號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品"
88,66000,福懋油脂股份有限公司,99636025,臺中市大肚區福山里沙田路一段453號,08食品製造業,087動物飼料
89,66000,世華生物科技股份有限公司,99636143,臺中市大里區西湖里西湖路一九一號,08食品製造業,089其他食品
90,66000,紀氏源豐企業股份有限公司台中廠,99636185,臺中市龍井區忠和里工業路二一六巷四三弄八號,08食品製造業,086碾榖、磨粉及澱粉製品
91,66000,薔薇食品有限公司,99636192,臺中市豐原區南嵩里水源路九五之一號,08食品製造業,089其他食品
92,66000,台耕產業工廠有限公司,99636262,臺中市沙鹿區興安里興安路八０巷五號,08食品製造業,"084食用油脂,089其他食品"
93,66000,力仁食品廠,99636373,臺中市龍井區龍崗里竹師路二段一一二巷三號一樓,08食品製造業,"084食用油脂,089其他食品"
94,66000,蔚昌實業有限公司,99636457,臺中市霧峰區吉峰里吉峰路67巷8號1樓,08食品製造業,089其他食品
95,66000,承昌食品股份有限公司,99636466,臺中市霧峰區六股里中正路３４７之１號,08食品製造業,089其他食品
96,66000,健得祐生物科技有限公司,99636482,臺中市霧峰區萬豐里中正路２６３號,08食品製造業,089其他食品
97,66000,新振發食品有限公司,99636625,臺中市豐原區圳寮里豐洲路四０之五號一樓,08食品製造業,089其他食品
98,66000,金安記食品廠有限公司,99636889,臺中市龍井區龍崗里竹師路二段一一二巷三九號,08食品製造業,089其他食品
99,66000,和興冷凍有限公司,99636972,臺中市后里區墩北里月湖路四八巷六號,08食品製造業,089其他食品
100,66000,宜農食品廠,99637225,臺中市神岡區社南里中山路八五一巷三五弄十三號,08食品製造業,089其他食品
101,66000,餐御宴食品有限公司,99637265,臺中市大甲區日南里幼獅路一號,08食品製造業,089其他食品
102,66000,光益農化工廠有限公司,99637286,臺中市潭子區栗林里中山路３段４９３巷４２弄１７號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
103,66000,成吉碾米工廠,99637531,臺中市潭子區栗林里豐栗路23號,08食品製造業,086碾榖、磨粉及澱粉製品
104,66000,谷興實業股份有限公司,99637594,臺中市沙鹿區福興里東晉路１３３號,08食品製造業,"084食用油脂,089其他食品"
105,66000,佳蜂養蜂園有限公司,99637778,臺中市霧峰區甲寅里德維街8巷41號1樓,08食品製造業,"083蔬果處理及其製品,089其他食品"
106,66000,台灣糖業股份有限公司月眉廠,99637792,臺中市后里區眉山里甲后路864號雲頭路50號,08食品製造業,089其他食品
107,66000,名典實業有限公司一廠,99637836,臺中市豐原區田心里大光街一０號,08食品製造業,089其他食品
108,66000,廣健興業有限公司,99637867,臺中市太平區建國里鵬儀路２９６巷１６弄４號,08食品製造業,089其他食品
109,66000,今口香調理食品股份有限公司二廠,99637898,臺中市太平區建國里鵬儀路296巷6弄45號,08食品製造業,089其他食品
110,66000,興達碾米廠,99637944,臺中市外埔區土城里土城中路二十二號,08食品製造業,086碾榖、磨粉及澱粉製品
111,66000,福台實業股份有限公司,99638004,臺中市清水區武鹿里海濱路二四四號,"08食品製造業,11紡織業","086碾榖、磨粉及澱粉製品,111紡紗"
112,66000,玉美研究股份有限公司烏日廠,99638046,臺中市烏日區榮泉里南榮路53號、大肚區中和里南榮路59號,08食品製造業,089其他食品
113,66000,泰順國際有限公司工廠,99638129,臺中市太平區太平里永豐路一三一巷一六號,08食品製造業,089其他食品
114,66000,睿宸實業有限公司,99638143,臺中市神岡區岸裡里大富路139號,08食品製造業,089其他食品
115,66000,佳美食品工業股份有限公司,99638156,臺中市大里區大元里大衛路56號,"08食品製造業,09飲料製造業","089其他食品,092非酒精飲料"
116,66000,新坪食品企業有限公司,99638218,臺中市太平區新坪里新平路３段７７、７９號,08食品製造業,089其他食品
117,66000,國興麵粉廠股份有限公司,99638427,臺中市大肚區福山里沙田路一段三七三號,08食品製造業,086碾榖、磨粉及澱粉製品
118,66000,宏興麵粉廠股份有限公司,99638471,臺中市大肚區福山里沙田路１段３６９號,08食品製造業,086碾榖、磨粉及澱粉製品
119,66000,麥可利食品有限公司,99638511,臺中市神岡區社口里社口街10巷10號,08食品製造業,089其他食品
120,66000,東菱藥品工業有限公司,99638590,臺中市潭子區栗林里中山路三段202巷7號,08食品製造業,089其他食品
121,66000,萬泰冷凍股份有限公司,99638635,臺中市石岡區石岡里豐勢路一三一九號,08食品製造業,083蔬果處理及其製品
122,66000,元信食品實業社,99638636,臺中市龍井區忠和里高園路１２５號,08食品製造業,089其他食品
123,66000,泰和製粉廠股份有限公司,99638674,臺中市大肚區頂街里紙廠路60號,08食品製造業,086碾榖、磨粉及澱粉製品
124,66000,全豐冷凍股份有限公司,99638685,臺中市石岡區石岡里豐勢路一三二三號,08食品製造業,083蔬果處理及其製品
125,66000,味丹企業股份有限公司沙鹿第二工廠,99638754,臺中市沙鹿區斗抵里興安路六五號,"08食品製造業,09飲料製造業","089其他食品,092非酒精飲料"
126,66000,味丹企業股份有限公司沙鹿第一工廠,99638779,臺中市沙鹿區斗抵里興安路63號,08食品製造業,089其他食品
127,66000,三風食品工業股份有限公司大雅廠,99638788,臺中市大雅區上楓里民富街一一四號,08食品製造業,089其他食品
128,66000,東亞食品廠,99638806,臺中市潭子區栗林里中山路三段202巷7號,08食品製造業,089其他食品
129,66000,榮興農產食品廠,99638889,臺中市大里區樹王里樹王路５０之１６號,08食品製造業,083蔬果處理及其製品
130,66000,中聯油脂股份有限公司台中港廠,99638945,臺中市清水區海濱里北堤路1之8號,08食品製造業,084食用油脂
131,66000,台灣伊莎貝爾食品股份有限公司台中總廠,99638947,臺中市大雅區四德里中清路三段735號,08食品製造業,"089其他食品,085乳品"
132,66000,松豐實業股份有限公司,99638957,臺中市清水區菁埔里菁埔路370號,08食品製造業,"083蔬果處理及其製品,086碾榖、磨粉及澱粉製品"
133,66000,正佳珍食品股份有限公司,99639115,臺中市龍井區龍泉里沙田路5段30巷50之2弄12號,08食品製造業,089其他食品
134,66000,大甲牧場股份有限公司,99639191,臺中市大甲區中山里東陽新村一五三號,08食品製造業,"089其他食品,085乳品"
135,66000,福壽實業股份有限公司台中港廠,99639216,臺中市梧棲區草湳里自強路98號,08食品製造業,"083蔬果處理及其製品,084食用油脂,086碾榖、磨粉及澱粉製品,089其他食品"
136,66000,福壽實業股份有限公司柴魚花加工廠,99639222,臺中市梧棲區草湳里自強路100號,08食品製造業,082水產處理及其製品
137,66000,美商恆旭實業股份有限公司台灣分公司,99639225,臺中市大甲區日南里工二路10號,08食品製造業,089其他食品
138,66000,正旺碾米工廠有限公司,99639304,臺中市外埔區大東里大馬路二九六號,08食品製造業,086碾榖、磨粉及澱粉製品
139,66000,妙果食品股份有限公司,99639308,臺中市大里區大元里國中一路３１號,08食品製造業,086碾榖、磨粉及澱粉製品
140,66000,酪多精生物科技股份有限公司,99639451,臺中市大里區大元里國中一路25巷2號1、2樓,"19化學製品製造業,08食品製造業","087動物飼料,194化粧品"
141,66000,歌美時企業股份有限公司,99639525,臺中市烏日區三和里中山路三段104號,08食品製造業,087動物飼料
142,66000,福壽實業股份有限公司總廠,99639535,臺中市沙鹿區興安里沙田路45號,08食品製造業,087動物飼料
143,66000,宏記冷凍食品股份有限公司,99639555,臺中市外埔區水美里水美路仁美巷29、31號,08食品製造業,089其他食品
144,66000,佑祥食品廠,99639583,臺中市太平區中興里永義二街八號,08食品製造業,083蔬果處理及其製品
145,66000,芳泉醬油工廠,99639670,臺中市豐原區豐圳里豐社路芳泉巷一號,08食品製造業,089其他食品
146,66000,聖芳生化科技食品工廠,99639705,臺中市大雅區上楓里昌平路四段273號,08食品製造業,089其他食品
147,66000,永雄天然植物食品廠,99639734,臺中市大里區西湖里西湖路一八七巷一號,08食品製造業,089其他食品
148,66000,全美食品廠,99639809,臺中市豐原區田心里豐南街一二號,08食品製造業,089其他食品
149,66000,四海通食品有限公司,99639834,臺中市太平區中興里永平路２段３３７號,08食品製造業,089其他食品
150,66000,總億食品工業股份有限公司大里廠,99639922,臺中市大里區金城里仁禮街四五號,08食品製造業,089其他食品
151,66000,寶元麵包工廠,99640011,臺中市豐原區西安里中正路三八三號,08食品製造業,089其他食品
152,66000,大統食品廠,99640100,臺中市大里區金城里塗城路八五二巷十六之六號,08食品製造業,081肉類處理及其製品
153,66000,卡是香有限公司,99640205,臺中市大里鄉仁化村仁化路七七五號,08食品製造業,084食用油脂
154,66000,中台太陽堂食品企業有限公司太平廠,99640254,臺中市太平區德隆里光興路一一五號,08食品製造業,089其他食品
