序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
272,66000,中華民國農會台農鮮乳廠,99669081,臺中市西屯區協和里工業區十三路１，２號,"08食品製造業,09飲料製造業","085乳品,092非酒精飲料"
273,66000,達駿冷凍食品股份有限公司,99669091,臺中市西屯區協和里工業區八路６號,08食品製造業,089其他食品
274,66000,福怡股份有限公司,99669133,臺中市南屯區寶山里工業區二十路４８號,08食品製造業,"089其他食品,082水產處理及其製品"
275,66000,全誠茶品股份有限公司工廠,99669135,臺中市北屯區東光里北屯路２８２之３號,08食品製造業,"083蔬果處理及其製品,086碾榖、磨粉及澱粉製品,089其他食品"
276,66000,頂裕食品股份有限公司,99669232,臺中市南屯區寶山里工業區二十三路２４號,08食品製造業,"083蔬果處理及其製品,089其他食品"
277,66000,資源生物科技股份有限公司,99669246,臺中市南屯區寶山里工業區二十一路１２號,08食品製造業,"083蔬果處理及其製品,089其他食品"
278,66000,源益飼料股份有限公司,99669262,臺中市南屯區寶山里工業區二十二路7號,08食品製造業,087動物飼料
279,66000,衛達化學製藥股份有限公司,99669263,臺中市南屯區寶山里工業區二十三路21號,"08食品製造業,20藥品及醫用化學製品製造業","089其他食品,200藥品及醫用化學製品"
280,66000,明通化學製藥股份有限公司第二廠,99669269,臺中市南屯區寶山里工業區二十一路15號,"20藥品及醫用化學製品製造業,09飲料製造業,08食品製造業","089其他食品,092非酒精飲料,200藥品及醫用化學製品"
281,66000,桂冠實業股份有限公司台中廠,99669273,臺中市南屯區寶山里工業區二十二路３２號,08食品製造業,"083蔬果處理及其製品,089其他食品"
282,66000,優生製藥廠股份有限公司,99669286,臺中市南屯區寶山里工業區二十一路１４號,"08食品製造業,20藥品及醫用化學製品製造業","089其他食品,200藥品及醫用化學製品"
283,66000,臺灣菸酒股份有限公司臺中酒廠,99669295,臺中市西屯區協和里工業區28路2號,"08食品製造業,09飲料製造業","086碾榖、磨粉及澱粉製品,092非酒精飲料,089其他食品,091酒精飲料"
284,66000,吉利高股份有限公司工廠,99669332,臺中市南屯區寶山里工業區十八路８號,08食品製造業,"089其他食品,086碾榖、磨粉及澱粉製品"
285,66000,大同國際食品有限公司,99669396,臺中市西屯區協和里工業區三十六路２６號,08食品製造業,089其他食品
286,66000,晶富股份有限公司,99669405,臺中市西屯區協和里工業區三十六路２５號,08食品製造業,"081肉類處理及其製品,083蔬果處理及其製品,089其他食品"
287,66000,東泉食品工廠,99669423,臺中市北區五常里五順街１４７號,08食品製造業,089其他食品
288,66000,金潤益食品工業有限公司一廠,99669466,臺中市西屯區協和里工業區三十二路67之1號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品,089其他食品"
289,66000,樹森開發股份有限公司台中二廠,99669485,臺中市西屯區協和里工業區十一路１５號,08食品製造業,"081肉類處理及其製品,083蔬果處理及其製品,089其他食品"
290,66000,樹森開發股份有限公司台中廠,99669486,臺中市西屯區協和里工業區三十二路２８號,08食品製造業,"081肉類處理及其製品,083蔬果處理及其製品,089其他食品"
291,66000,亞泰冷藏股份有限公司,99669495,臺中市西屯區協和里工業區二路５號,08食品製造業,"083蔬果處理及其製品,082水產處理及其製品,089其他食品"
292,66000,裕馨國際食品科技有限公司工廠,99669512,臺中市北區建成里天祥街２５２號,08食品製造業,089其他食品
293,66000,聚陽食品工廠,99669528,臺中市北區建成里東成路１０７號,08食品製造業,"083蔬果處理及其製品,089其他食品"
294,66000,榮洲食品股份有限公司,99669541,臺中市西屯區協和里工業區四十一路１７之１號,08食品製造業,"083蔬果處理及其製品,089其他食品"
295,66000,恒安製藥工業股份有限公司,99669546,臺中市西屯區協和里工業區一路１０１號,"08食品製造業,09飲料製造業,20藥品及醫用化學製品製造業","092非酒精飲料,200藥品及醫用化學製品,089其他食品"
296,66000,連城農產加工廠,99669722,臺中市北屯區舊社里北屯路４５０號,08食品製造業,083蔬果處理及其製品
